lat,lon
40.12008951,-88.23704624
40.12008881,-88.22428108
40.12008801,-88.21065367
40.12008722,-88.19702626
40.12008642,-88.18339885
40.1200857,-88.17047265
40.12008512,-88.15890414
40.12008441,-88.14602845
40.12008358,-88.1321572
40.12008266,-88.11751811
40.12008162,-88.10193896
40.1200801,-88.08314406
40.12007877,-88.06553592
40.12007758,-88.04893543
40.1200763,-88.03170588
40.12007503,-88.01447634
40.12007377,-87.99740562
40.1200721,-87.97769775
40.12007058,-87.95885059
40.12006944,-87.94256094
40.12006871,-87.92955398
40.12006778,-87.91489244
40.12006685,-87.9001459
40.12006562,-87.88327309
40.1200644,-87.86643329
40.12006255,-87.84569086
40.12006101,-87.82672672
40.12005946,-87.80776259
40.1200583,-87.79135476
40.12005698,-87.77383031
40.12005566,-87.75630585
40.12005439,-87.73912975
40.12005293,-87.72069921
40.12005148,-87.70231464
40.12005014,-87.68469176
40.12004872,-87.66650451
40.12004738,-87.64881389
40.12004627,-87.63280504
40.120045,-87.61557792
40.12004398,-87.6001654
40.12004296,-87.58475289
40.12004193,-87.56934038
40.12004091,-87.55392786
40.12003996,-87.53904862
40.12003847,-87.5204318
40.12003668,-87.50002837
40.1200349,-87.47966653
40.12003306,-87.45899735
40.12003065,-87.4353215
40.12002824,-87.41164565
40.12002598,-87.38874346
40.12002345,-87.36445984
40.12002091,-87.34014512
40.1200189,-87.318577
40.12001702,-87.29763177
40.12001541,-87.27827051
40.12001393,-87.25973831
40.12001245,-87.24120611
40.12001126,-87.22457473
40.12001048,-87.21108899
40.1200094,-87.19522537
40.12000832,-87.17936175
40.12000716,-87.16296607
40.120006,-87.14657038
40.12000462,-87.12863587
40.12000241,-87.1059336
40.12000004,-87.08249681
40.11999743,-87.05784456
40.11999495,-87.03383586
40.11999247,-87.00982716
40.11998994,-86.98554426
40.11998745,-86.96151435
40.1199849,-86.93713002
40.11998195,-86.91094491
40.119979,-86.8847598
40.11997605,-86.85857468
40.11997317,-86.83268976
40.11997041,-86.80737063
40.11996763,-86.78194192
40.11996399,-86.75284761
40.11996035,-86.72375331
40.1199571,-86.69625274
40.11995347,-86.66717731
40.11994993,-86.63848705
40.11994639,-86.6097968
40.11994269,-86.58045935
40.11993925,-86.55220517
40.119936,-86.52468751
40.11993218,-86.4948949
40.11992836,-86.46510229
40.1199247,-86.43592025
40.11992122,-86.40745553
40.11991832,-86.3814913
40.11991584,-86.35746616
40.11991315,-86.33249575
40.11991031,-86.30675571
40.11990733,-86.2804377
40.11990372,-86.25146613
40.11989982,-86.22136022
40.11989635,-86.19294136
40.11989287,-86.1645225
40.11988929,-86.13564305
40.11988531,-86.10523181
40.11988031,-86.07114436
40.11987578,-86.03866178
40.11987181,-86.00830321
40.11986785,-85.97794464
40.11986302,-85.94442948
40.11985801,-85.91030821
40.11985194,-85.87271393
40.11984496,-85.83243242
40.11983779,-85.7916154
40.11982989,-85.74873869
40.11982256,-85.70745791
40.11981573,-85.66760531
40.11980836,-85.62619679
40.11980111,-85.58513504
40.11979358,-85.54330475
40.11978606,-85.50147446
40.11977853,-85.45964417
40.11977027,-85.41579435
40.119762,-85.37194453
40.11975373,-85.32809472
40.11974455,-85.28188598
40.11973599,-85.23726978
40.11972746,-85.19272641
40.11971846,-85.14697616
40.11970945,-85.10122592
40.11970032,-85.0551363
40.11969261,-85.01280553
40.11968411,-84.96832183
