lat,lon
40.1202899,-88.24018605
40.12054307,-88.2306909
40.12078997,-88.22143098
40.12100614,-88.21332504
40.1211998,-88.20606429
40.12137668,-88.19943363
40.12156466,-88.19238602
40.1217697,-88.18469772
40.12205748,-88.17390184
40.12234514,-88.16311043
40.12262757,-88.15251563
40.12287758,-88.14313863
40.12312078,-88.13401749
40.12336398,-88.12489633
40.12360381,-88.11590177
40.12382744,-88.10751564
40.12407688,-88.09816005
40.12432652,-88.08879694
40.12460626,-88.07830269
40.12490086,-88.06724999
40.12518493,-88.05659323
40.12542796,-88.04747788
40.12560197,-88.04095421
40.12576639,-88.03479069
40.12593695,-88.0283964
40.12614064,-88.02075854
40.12634433,-88.01312066
40.12656353,-88.00490026
40.12676888,-87.99719998
40.12690242,-87.99219491
40.12695245,-87.99032036
40.12696977,-87.98967193
40.1269859,-87.98906748
40.12706388,-87.98614588
40.12720624,-87.98080945
40.12737266,-87.97457041
40.12752607,-87.9688195
40.12767338,-87.96329765
40.12782443,-87.95763541
40.1280227,-87.95020095
40.12825779,-87.94138354
40.12845752,-87.93389401
40.12869058,-87.9251532
40.12895293,-87.91531178
40.12918666,-87.90654556
40.12943231,-87.89733142
40.12973968,-87.88579826
40.13004704,-87.87426506
40.13036665,-87.86227132
40.13066178,-87.85119793
40.1309643,-87.83984658
40.13126682,-87.82849518
40.13158601,-87.81651693
40.13192928,-87.8036335
40.13227055,-87.79082469
40.13261455,-87.77791331
40.13295856,-87.76500187
40.13330256,-87.75209036
40.13362196,-87.74010368
40.13394865,-87.72784336
40.13427533,-87.71558297
40.13460202,-87.70332252
40.1349287,-87.69106202
40.13523891,-87.67942098
40.13550078,-87.66959661
40.13577751,-87.65921382
40.13606643,-87.64837311
40.13636247,-87.6372642
40.13662563,-87.6273915
40.13686254,-87.61850468
40.13709945,-87.60961783
40.13738598,-87.59886677
40.1376725,-87.58811567
40.13794797,-87.57778013
40.13822437,-87.56740936
40.13853119,-87.55589511
40.13882786,-87.54476229
40.13910783,-87.53425756
40.13938745,-87.52376565
40.13966707,-87.5132737
40.13992923,-87.50343786
40.14019139,-87.49360199
40.14048516,-87.48257806
40.14076815,-87.47195904
40.14105115,-87.46133998
40.14133711,-87.45060949
40.14162307,-87.43987895
